GRB Name: 240606B, Detection Day: 13:33:06.5, Detection Time: BAT/GUANO, XRT RA Coordinates: 40.23402:40:56.2, Redshift: -60.637-60:38:13.2
GRB Name: 240603B, Detection Day: 06:57:43, Detection Time: 1232755, XRT RA Coordinates: 36.05402:24:13.0, Redshift: -50.944-50:56:38.4
GRB Name: 240529A, Detection Day: 02:58:31, Detection Time: 1231488, XRT RA Coordinates: 335.34122:21:21.8, Redshift: 51.55751:33:25.2
GRB Name: 240527B, Detection Day: 14:03:51.50, Detection Time: Fermi, XRT RA Coordinates: 128.5108:34:02.4, Redshift: -12.68-12:40:48.0
GRB Name: 240523A, Detection Day: 14:43:11, Detection Time: 1230423, XRT RA Coordinates: 33.53702:14:08.9, Redshift: -22.053-22:03:10.8
GRB Name: 240516A, Detection Day: 03:36:28, Detection Time: 1228797, XRT RA Coordinates: 212.78414:11:08.2, Redshift: -63.495-63:29:42.0
GRB Name: 240513A, Detection Day: 07:22:02.55, Detection Time: Fermi, XRT RA Coordinates: 163.410:53:36.0, Redshift: -27.5-27:30:00.0
GRB Name: 240511A, Detection Day: 18:06:53, Detection Time: 1227767, XRT RA Coordinates: 336.66922:26:40.6, Redshift: 8.51508:30:54.0
GRB Name: 240421B, Detection Day: 09:42:54, Detection Time: 1223470, XRT RA Coordinates: 299.68519:58:44.4, Redshift: -14.878-14:52:40.8
GRB Name: 240419B, Detection Day: 12:22:52, Detection Time: 1223072, XRT RA Coordinates: 325.85321:43:24.7, Redshift: 4.29904:17:56.4
GRB Name: 240419A, Detection Day: 01:48:01, Detection Time: 1222955, XRT RA Coordinates: 94.50506:18:01.2, Redshift: -44.964-44:57:50.4
GRB Name: 240418A, Detection Day: 20:24:08, Detection Time: 1222885, XRT RA Coordinates: 239.34215:57:22.1, Redshift: 23.63223:37:55.2
GRB Name: 240415B, Detection Day: 03:10:49.351, Detection Time: BAT/GUANO, XRT RA Coordinates: 132.31708:49:16.1, Redshift: -27.07-27:04:12.0
GRB Name: 240415A, Detection Day: 06:26:53, Detection Time: 1221874, XRT RA Coordinates: 129.19708:36:47.3, Redshift: 73.15073:09:00.0
GRB Name: 240414A, Detection Day: 02:20:36, Detection Time: 1221714, XRT RA Coordinates: 184.78112:19:07.4, Redshift: 56.73456:44:02.4
GRB Name: 240411B, Detection Day: 15:32:54, Detection Time: 1221183, XRT RA Coordinates: 231.56215:26:14.9, Redshift: -2.172-02:10:19.2
GRB Name: 240303A, Detection Day: 06:33:18, Detection Time: 1218452, XRT RA Coordinates: 229.74815:18:59.5, Redshift: -57.375-57:22:30.0
GRB Name: 240225B, Detection Day: 20:15:46, Detection Time: MAXI, XRT RA Coordinates: 128.45808:33:49.9, Redshift: 27.48727:29:13.2
GRB Name: 240222A, Detection Day: 08:51:31, Detection Time: 1216804, XRT RA Coordinates: 143.20909:32:50.2, Redshift: -68.034-68:02:02.4
GRB Name: 240218A, Detection Day: 02:00:00, Detection Time: 1215912, XRT RA Coordinates: 161.81010:47:14.4, Redshift: 1.29501:17:42.0
GRB Name: 240215A, Detection Day: 15:33:00.41, Detection Time: GUANO, XRT RA Coordinates: 132.23708:48:56.9, Redshift: -6.4058-06:24:20.9
GRB Name: 240205B, Detection Day: 22:13:06, Detection Time: 1213095, XRT RA Coordinates: 351.46623:25:51.8, Redshift: -55.123-55:07:22.8
GRB Name: 240204A, Detection Day: 15:07:50.63, Detection Time: 1212898, XRT RA Coordinates: 104.29006:57:09.6, Redshift: 1.07801:04:40.8
GRB Name: 240123A, Detection Day: 11:05:46, Detection Time: 1210276, XRT RA Coordinates: 199.28713:17:08.9, Redshift: 60.60760:36:25.2
GRB Name: 240122A, Detection Day: 10:28:03, Detection Time: MAXI, XRT RA Coordinates: 92.82706:11:18.5, Redshift: -19.031-19:01:51.6
GRB Name: 240118A, Detection Day: 01:48:09.44, Detection Time: Fermi, XRT RA Coordinates: 18.5701:14:16.8, Redshift: 29.7929:47:24.0
GRB Name: 240112C, Detection Day: 17:37:24, Detection Time: 1208389, XRT RA Coordinates: 270.64418:02:34.6, Redshift: 24.48724:29:13.2
GRB Name: 240109A, Detection Day: 04:01:35, Detection Time: 1207446, XRT RA Coordinates: 301.33020:05:19.2, Redshift: 16.56616:33:57.6
GRB Name: 240102A, Detection Day: 17:34:55, Detection Time: 1205899, XRT RA Coordinates: 96.84806:27:23.5, Redshift: -20.011-20:00:39.6
